Ticker,forwardPE,revenueGrowth,overallRisk,netIncomeToCommon,auditRisk,beta,boardRisk,compensationRisk,currentRatio,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,forwardEps,heldPercentInsiders,heldPercentInstitutions,industry,netIncomeToCommon,pegRatio,quickRatio,recommendationMean,returnOnAssets,returnOnEquity,revenuePerShare,sector,shareHolderRightsRisk,sharesShort,sharesShortPriorMonth,shortRatio,trailingEps
COTY,13.434782,0.026,9,-168800000,2,-0.032867,10,9,0.903,79.066,,,0.14726,12.59,1.854,0.92,0.41627997,0.68833,Household & Personal Products,-168800000,1.13,0.462,2.7,0.0179,-0.01319,12.536,Consumer Defensive,7,75347405,63430252,13.49,-0.23
OCUL,-5.0751877,0.479,9,-56238000,2,1.150467,10,8,4.914,34.18,,,0,-4.177,105.121,-1.33,0.09268,0.57238996,Biotechnology,-56238000,,4.8,1.8,-0.43648,-1.19969,0.061,Healthcare,7,4521723,4485392,13.41,-1.719
HQY,70.83459,0.261,2,55910000,1,1.554225,1,6,17.708,,0.565,0.609,0.31155002,67.498,21.029,1.33,0.03108,0.97766,Health Information Services,55910000,2.73,17.072,1.8,0.10236,0.16257,4.022,Technology,2,4819313,5040183,13.4,0.902
DB,10.236363,-0.007,9,-1852302336,10,1.723375,4,8,,,-0.571,-0.192,0,,-7.905,1.1,,,Banks - Regional - Europe,-1852302336,1.14,,4,-0.00084,-0.01793,14.198,Financial Services,1,75837271,74086046,13.33,-0.882
CONN,13.1410265,0.007,5,21775000,2,0.478192,4,8,5.058,173.33,,,0.06321,22.786,1.44,3.12,0.30105,0.66901,Specialty Retail,21775000,0.7,3.601,1.5,0.021459999,0.04083,48.464,Consumer Cyclical,3,4158275,3950255,13.31,0.668
CTB,11.182171,-0.031,2,42820000,1,0.670932,1,3,2.576,29.203,-0.65,-0.669,0.12194,4.941,0.603,2.58,0.00926,1.10465,Rubber & Plastics,42820000,-29.54,1.378,2.2,0.046529997,0.03901,54.596,Consumer Cyclical,3,10164992,9354264,13.25,0.836
CASY,23.111336,0.147,7,317903008,2,0.698213,8,5,0.781,105.944,-0.323,-0.36,0.06516,11.149,0.726,4.94,0.01159,0.98392,Grocery Stores,317903008,2.75,0.294,2.4,0.051209997,0.25827,197.789,Consumer Defensive,6,3242689,3383742,12.9,8.34
MDR,9.527094,1.199,,202546000,,2.189452,,,0.934,97.027,-0.141,0.306,0.13755,11.173,1.537,2.03,0.00865,0.86095,Oil & Gas Equipment & Services,202546000,0.19,0.739,2.4,0.03585,0.07508,37.354,Energy,,28645479,27251082,12.82,1.878
PIR,92,-0.092,1,-13891000,1,2.339653,5,3,2.111,77.733,,,0.03736,3.016,0.113,0.02,0.06934,0.76407,Specialty Retail,-13891000,-1.04,0.682,3.5,0.00402,-0.051680002,22.011,Consumer Cyclical,1,13078532,11912172,12.77,-0.18
KTWO,-44.096775,0.12,8,-39405000,2,1.726346,9,8,3.479,51.891,,,-0.04822,-96.003,4.63,-0.62,0.033889998,1.0655,Medical Devices,-39405000,-3.09,2.029,2.3,-0.05651,-0.1584,6.31,Healthcare,8,2922649,3346011,12.68,-0.914
CALM,19.166668,0.614,10,125932000,1,-0.224599,10,6,5.448,0.637,,,0.15831,8.568,1.356,2.58,0.3215,0.67003995,Packaged Foods,125932000,-2.48,3.866,3.2,0.105270006,0.1402,31.082,Consumer Defensive,10,4749524,4871544,12.54,2.6
MNKD,-1.6666666,0.8,6,-118730000,5,3.309706,4,5,0.478,,,,0,-2.721,20.478,-0.66,0.097270004,0.28205,Biotechnology,-118730000,-0.05,0.388,2,-0.90260005,,0.111,Healthcare,3,28605378,35627125,12.5,-0.988
AERI,-46.127815,,7,-186608000,1,0.949588,7,8,10.269,63.628,,,0,-14.217,1097.715,-1.33,0.02081,1.1118599,Drug Manufacturers - Major,-186608000,,9.983,1.8,-0.34741002,-0.98235,0.064,Healthcare,8,4373707,6444673,12.36,-4.958
IRM,29.590162,0.117,2,189900992,1,0.388063,1,4,0.977,375.587,0.117,0.188,0.33885,13.362,4.528,1.22,0.033859998,0.94341004,Business Services,189900992,1.01,0.829,2.5,0.04486,0.092810005,14.674,Industrials,5,24737142,22643620,12.11,0.665
ALRM,40.789856,0.215,8,36662000,2,1.089938,8,9,4.248,25.921,0.1,0.088,0.19163999,36.21,6.939,1.38,0.080749996,0.96537,Software - Application,36662000,2.36,3.473,1.9,0.09441,0.15359999,7.969,Technology,8,4910348,5836886,12.06,0.74
FTK,-11.857143,-0.306,1,-86154000,1,1.594691,2,2,1.763,25.284,,,-0.01835,-34.849,0.639,-0.21,0.06012,0.79041,Oil & Gas Equipment & Services,-86154000,-0.34,0.584,2.5,-0.033469997,-0.36713,4.724,Energy,2,8326516,8556300,12.02,-1.509
ASUR,18.555555,0.69,,-8519000,,0.716262,,,1.544,113.679,,,0.19531,21.057,4.113,0.81,0.13111,0.70112,Software - Application,-8519000,0.9,0.841,1.7,0.013789999,-0.10305,5.698,Technology,,2692634,2680324,11.91,-0.684
AKAO,-2.2415254,1.024,7,-163488000,2,0.855363,7,7,3.795,41.792,,,0,-0.888,21.753,-2.36,0.19664,0.65287,Biotechnology,-163488000,-0.02,3.313,2,-0.54611,-1.3771499,0.164,Healthcare,8,11766414,14557503,11.9,-3.809
CYH,-2.3658538,-0.14,1,-2254000128,1,2.318819,3,3,1.791,,,,0.05767,18.001,1.038,-1.64,0.04014,1.0036,Medical Care,-2254000128,1.17,1.34,3.4,0.00657,-2.65133,124.486,Healthcare,1,31752741,34556598,11.74,-20.123
PPL,12.238683,0.071,5,1398000000,2,0.424546,4,9,0.585,199.084,0.71,0.764,0.55636,9.796,5.45,2.43,0.00214,0.54761004,Utilities - Regulated Electric,1398000000,5.92,0.46,2.5,0.04772,0.12885,11.185,Utilities,3,52999968,52967824,11.71,2.016
ENB,17.345177,-0.033,4,1870281856,1,0.771081,8,2,0.558,90.866,0.125,0.16,0.22092,16.239,3.588,1.97,0.00201,0.63635,Oil & Gas Midstream,1870281856,4.59,0.424,2.3,0.025390001,0.040149998,20.545,Energy,3,33590348,37170894,11.68,1.121
ALKS,87.92157,0.392,3,-141219008,1,2.547195,5,3,2.922,24.21,,,0.01059,643.168,6.814,0.51,0.00921,1.03049,Biotechnology,-141219008,9.17,2.447,2.5,-0.03263,-0.11966,6.627,Healthcare,4,7188490,7421317,11.66,-0.916
BDC,10.600583,0.095,1,28102000,1,2.637465,5,1,1.786,109.756,-0.234,-0.198,0.17942,9.23,1.656,6.86,0.01712,1.26758,Electronic Components,28102000,1.13,1.184,1.8,0.050029997,0.04434,59.99,Technology,2,5734943,6618493,11.56,0.674
SSTK,33.35758,0.169,7,39385000,2,1.057262,5,9,1.675,,,,0.07879,34.072,2.685,1.65,0.4691,0.56663,Internet Content & Information,39385000,1.8,1.549,3.4,0.028269999,0.12109999,17.334,Technology,8,3355224,3315817,11.48,1.112
IMMU,-31.11628,-0.399,9,-273836896,2,3.762734,10,10,14.824,4.944,,,0,-30.337,1966.442,-0.86,0.080579996,0.83729,Biotechnology,-273836896,,14.606,1.5,-0.21326,-1.6100501,0.014,Healthcare,1,18028374,20165241,11.48,-1.784
CMCM,13.888888,-0.082,,218857504,,3.602427,,,3.062,,1.6,1.8,0.16263,8.919,1.451,0.72,0.16093999,0.15302,Software - Application,218857504,-35.5,2.548,3.2,0.06312,0.32109,5.238,Technology,,6877408,6765374,11.46,1.506
ESPR,-9.684932,,7,-174970000,2,3.711512,6,8,5.402,0.086,,,0,-6.499,,-5.11,0.15978,1.22584,Biotechnology,-174970000,-0.3,5.153,2.3,-0.56108004,-1.0603501,,Healthcare,8,6163106,6664161,11.42,-6.731
OPK,-28.190477,-0.099,9,-306766016,2,2.492299,10,7,1.048,11.585,,,-0.15691,-21.26,3.336,-0.21,0.41623002,0.2579,Drug Manufacturers - Specialty & Generic,-306766016,-2.05,0.836,2.2,-0.061680004,-0.15662,1.836,Healthcare,3,76787383,73367143,11.37,-0.548
HIMX,32.149998,0.195,,26648000,,-0.204431,,,1.789,33.731,,,0.03429,45.615,1.564,0.2,0.46548998,0.30833,Semiconductors,26648000,6.26,0.883,2.9,0.00389,0.05598,4.189,Technology,,22667457,22693877,11.26,0.151
O,44.037594,0.096,9,328335008,1,0.259164,10,2,1.332,87.131,0.136,0.188,0.90984,20.712,18.845,1.33,0.00236,0.70564,REIT - Retail,328335008,5.82,0.82,2.7,0.02724,0.04528,4.49,Real Estate,9,17875669,17994232,11.13,1.162
SPHS,-5.836364,,,-16044000,,0.321599,,,3.573,,,,0,-5.405,,-0.55,0.00154,0.1292,Biotechnology,-16044000,,3.38,2,-0.4438,-2.70329,,Healthcare,,2109775,2089898,11.11,-0.533
MIK,6.850806,-0.018,3,335582016,2,1.070981,3,3,1.479,,-0.204,-0.227,0.14954,7.048,1.054,2.48,0.00238,1.11761,Specialty Retail,335582016,0.98,0.163,2.3,0.20782,,29.658,Consumer Cyclical,6,17935150,21638908,11.01,1.85
HRB,13.072464,0.054,4,604438016,1,-0.214951,1,8,2.273,779.153,,,0.29760998,6.57,1.955,2.07,0.00433,1.01506,Personal Services,604438016,1.4,1.889,2.8,0.20119,,15.172,Consumer Cyclical,6,23276605,25425071,10.99,2.812
RTRX,-18.108572,0.065,3,-76119000,2,1.382873,4,6,2.695,15.765,,,-0.13825,-44.035,6.088,-1.75,0.01112,1.02749,Drug Manufacturers - Major,-76119000,-0.78,2.59,1.4,-0.050679997,-0.26076,4.128,Healthcare,2,3618366,3366983,10.96,-1.936
CPE,8.968254,0.672,3,138846000,1,0.787526,2,2,2.61,43.939,0.467,0.512,0.63418,10.605,6.726,1.26,0.00559,1.3110601,Oil & Gas E&P,138846000,0.26,2.532,2,0.0309,0.071890004,2.264,Energy,8,44717753,46622407,10.89,0.68
SQM,18.36638,0.263,,470996992,,1.01958,,,3.64,64.375,0.327,0.324,0.39641997,12.651,5.015,2.32,0.10255,0.21763,Chemicals,470996992,1.08,2.127,2.3,0.10047,0.21519,8.68,Basic Materials,,8105776,7970750,10.88,1.785
S,152.75,-0.004,7,7359000064,1,0.322947,8,6,1.15,145.346,-0.2,-0.146,0.3728,4.741,1.768,0.04,0.00181,0.17828,Telecom Services,7359000064,-122.6,1.02,3.2,0.023659999,0.31278,8.087,Communication Services,6,112937261,134165781,10.77,1.802
ETM,7.85,1.978,10,222406000,2,0.550887,7,10,2.133,112.693,-0.893,-0.619,0.16204001,17.735,2.874,1,0.12564999,0.89685994,Broadcasting - Radio,222406000,-0.47,1.9,3,0.031630002,0.20985001,10.272,Consumer Cyclical,10,18653284,19270624,10.77,2.182
EXPR,21.169813,0.031,3,36676000,1,0.644985,1,7,1.96,,,,0.0678,4.088,0.277,0.53,0.01903,1.1763301,Apparel Stores,36676000,1.93,0.751,3,0.03211,0.05855,28.131,Consumer Cyclical,5,13199554,14399249,10.75,0.479
RH,21.087534,-0.008,8,33609000,2,2.132383,7,9,1.309,13569.463,,,0.117819995,15.997,1.885,7.54,0.11817,1.24832,Specialty Retail,33609000,0.81,0.12,2.5,0.07296,0.10646,105.719,Consumer Cyclical,8,7705746,6955692,10.75,1.278
IRBT,36.031746,0.236,2,57574000,1,1.144513,2,4,2.886,,0.37,0.325,0.121520005,25.722,3.126,3.15,0.02628,1.06239,Consumer Electronics,57574000,2.63,1.677,2.5,0.09387,0.13028,35.088,Technology,3,10701688,10629919,10.72,1.999
CREE,39.434425,0.141,3,-279968000,1,0.253579,2,6,3.585,14.092,,,0.048520003,64.58,3.133,1.22,0.01096,1.06579,Semiconductors,-279968000,0.71,2.189,2.6,-0.01413,-0.13035,15.007,Technology,3,10489220,12208976,10.54,-2.813
BBBY,9.060606,0.004,8,393151008,2,0.996462,9,10,1.859,51.381,-0.396,-0.421,0.08334,2.976,0.248,1.98,0.03779,0.99351,Specialty Retail,393151008,-0.46,0.389,3.5,0.06412,0.141,89.635,Consumer Cyclical,1,31143285,29005351,10.51,2.842
IRT,46.954544,0.185,9,14311000,2,0.994645,10,6,4.382,145.347,-0.852,-0.813,0.50586,20.171,10.204,0.22,0.00666,0.90142,REIT - Residential,14311000,10.81,0.725,1.9,0.020350002,0.02547,2.138,Real Estate,8,4321942,4478747,10.47,0.174
MCHP,11.260471,0.247,8,120500000,1,1.097513,9,9,1.317,221.507,-0.8,-0.791,0.37219003,19.637,7.309,7.64,0.022030002,1.10036,Semiconductors,120500000,0.79,0.673,1.7,0.04303,0.02823,18.012,Technology,3,33098725,30260146,10.47,0.484
BMRN,999.80005,0.175,4,-124860000,2,2.038593,4,4,2.833,41.303,,,-0.045110002,-268.929,12.133,0.1,0.00431,1.04708,Biotechnology,-124860000,-2.16,2.145,1.8,-0.022130001,-0.043959998,8.181,Healthcare,6,11787944,11066370,10.45,-0.71
AMBA,30.895163,-0.112,6,6282000,2,1.155129,5,7,11.769,,,,0.04828,66.454,3.208,1.24,0.0471,0.70623,Semiconductor Equipment & Materials,6282000,6.29,11.093,2.5,0.01428,0.013459999,8.669,Technology,9,7029084,6051712,10.44,0.189
HALO,-27.893938,0.043,5,76277000,2,3.252223,1,10,3.489,65.135,,,0.28931,25.868,7.484,-0.66,0.01056,0.88101995,Biotechnology,76277000,-0.4,3.266,2.6,0.13761,0.48724997,2.244,Healthcare,4,8402945,8532767,10.43,0.523
UIS,10.276243,0.002,5,53800000,1,1.148588,1,10,1.495,,,,0.09717,3.837,0.373,1.81,0.01766,1.18007,Information Technology Services,53800000,1.09,1.327,2.5,0.06112,,55.002,Technology,3,9819762,9587611,10.42,1.021
NE,-3.6969697,-0.088,6,-891864000,2,2.516735,4,10,2.068,80.507,,,0.37438,13.505,5.056,-1.65,0.01372,0.92288,Oil & Gas Drilling,-891864000,-0.55,1.971,3.2,-0.00846,-0.20908001,4.305,Energy,2,44525416,42025358,10.33,-3.63
CIEN,18.254335,0.124,3,751388992,2,1.007904,4,5,1.97,52.85,-0.136,-0.153,0.10815,13.772,1.489,1.73,0.01075,1.07748,Communication Equipment,751388992,2.23,1.576,1.9,0.041139998,0.55183,20.469,Technology,2,16111779,18023865,10.29,4.899
SPWR,-32,0.369,10,-1104013056,1,1.903437,10,10,1.752,1268.973,,,-0.02553,-50.366,1.286,-0.21,0.56791997,0.31981,Solar,-1104013056,0.06,0.83,3,-0.03937,-2.44651,14.677,Technology,7,17668125,15915554,10.26,-7.888
TDOC,-71.80556,1.121,8,-124654000,2,0.40097,8,10,3.137,57.587,,,-0.111090004,-151.454,16.825,-1.08,0.01123,1.19172,Health Information Services,-124654000,0.85,2.99,1.8,-0.04454,-0.22690001,5.507,Technology,4,18167305,18654760,10.19,-2.08
DVAX,-9.111842,10.943,7,-127951000,2,0.00224,3,9,8.869,75.98,,,0,-6.228,490.401,-1.52,0.00994,0.80227995,Biotechnology,-127951000,,8.516,1.8,-0.38084,-0.94137,0.025,Healthcare,9,10929001,9205482,10.13,-2.106
RAD,68.5,-0.009,1,-355222016,2,1.991043,3,1,1.49,175.61,,,0.02437,9.385,0.229,0.02,0.01154,0.57863,Pharmaceutical Retailers,-355222016,37.94,0.73,3.1,0.00909,-0.29939,20.429,Consumer Defensive,3,185162752,180954193,10.06,1.171
ALB,15.659016,0.158,4,334524992,1,1.571314,4,1,2.192,42.098,1.967,1.927,0.28531998,11.939,3.407,6.1,0.00416,0.93901,Specialty Chemicals,334524992,1.39,1.462,2,0.06192,0.09635,29.802,Basic Materials,7,13417510,12366187,10.06,2.996
JCP,-3.2181816,-0.045,1,-60000000,1,0.208735,2,5,1.627,346.793,,,0.06418,5.875,0.377,-0.55,0.02069,0.7453,Department Stores,-60000000,0.07,0.092,3.3,0.01663,-0.05061,38.781,Consumer Cyclical,1,131239763,139514590,10,-0.191
KMX,15.672691,0.058,6,691065984,2,1.607976,6,7,2.296,391.706,0.177,0.127,0.07113,20.651,1.469,4.98,0.00502,1.0508599,Auto & Truck Dealerships,691065984,1.23,0.138,2.2,0.04078,0.21147,100.902,Consumer Cyclical,5,11651331,11865630,9.95,3.787
XXII,-18.066666,0.774,,-12404380,,2.025726,,,10.211,0.931,,,-0.76485,-15.053,11.513,-0.15,0.123780005,0.28673,Biotechnology,-12404380,,9.473,2,-0.22118999,-0.2547,0.2,Healthcare,,16070701,14218323,9.95,-0.105
APA,24.623596,0.372,1,859000000,1,1.646509,1,1,1.358,92.685,-0.66,-0.659,0.61562,6.429,3.958,1.78,0.00226,0.99922997,Oil & Gas E&P,859000000,0.19,1.046,3,0.03873,0.12722999,17.06,Energy,5,30172352,31351246,9.92,2.239
CVNA,-87.48648,1.27,,-77133000,,,,,1.466,119.915,,,-0.12213001,-16.577,2.025,-0.74,0.094849996,1.09093,Specialty Retail,-77133000,-0.4,0.508,1.8,-0.16349001,-0.61142,68.833,Consumer Cyclical,,9741909,10695565,9.9,-4.004
ZION,12.871982,0.043,7,681000000,1,1.486257,8,5,,,0.219,0.173,0,,5.043,4.14,0.01825,0.97073,Banks - Regional - US,681000000,1.35,,2.2,0.0109,0.09356,13.826,Financial Services,8,25146453,26624590,9.83,3.23
CHGG,54.88136,0.318,9,-14383000,2,0.900787,5,10,10.11,71.151,,,0.037469998,324.32,12.152,0.59,0.0232,1.09029,Education & Training Services,-14383000,2.24,9.771,2.5,-0.01282,-0.0471,2.637,Consumer Defensive,8,12557353,16099473,9.76,-0.132
CORT,11.643412,0.752,7,147742000,1,2.153728,7,8,6.387,,0.4,0.439,0.35709998,20.493,7.318,1.29,0.09482,0.7698,Biotechnology,147742000,-1.62,6.11,2.5,0.2665,0.95424,1.885,Healthcare,6,15148191,16779082,9.73,1.164
SYNA,9.950516,-0.089,4,-124100000,2,0.465706,6,4,2.606,61.799,,,0.044710003,25.196,1.127,4.85,0.019450001,1.00642,Software - Application,-124100000,0.8,2.079,2.4,-0.022550002,-0.1689,47.67,Technology,5,6736311,6812775,9.73,-3.63
KSS,13.663213,0.103,1,953000000,2,1.073694,5,2,1.82,71.66,0.422,0.404,0.1277,6.366,0.813,5.79,0.01375,1.12693,Department Stores,953000000,1.29,0.385,2.5,0.072680004,0.18125999,117.655,Consumer Cyclical,1,25628559,27029759,9.72,5.725
CTL,17.225807,0.443,2,1616000000,1,0.575049,1,2,0.985,162.317,8,16.176,0.35474,7.981,2.831,1.24,0.00762,0.78375,Telecom Services,1616000000,-1.15,0.796,2.6,0.028900001,0.08959,23.833,Communication Services,6,89498720,86797804,9.7,1.812
AJRD,26.598484,0.017,8,9100000,10,0.817431,6,5,1.604,277.783,0.406,0.432,0.10505,13.081,1.374,1.32,0.0298,1.06743,Aerospace & Defense,9100000,1.48,1.538,2.8,0.036429998,0.05452,26.787,Industrials,4,9504412,9268330,9.63,0.12
PACB,-10.847825,0.075,5,-89502000,1,3.191348,5,9,4.33,16.521,,,-0.90112,-6.592,5.94,-0.46,0.04889,0.7737,Diagnostics & Research,-89502000,-0.22,3.186,2.3,-0.34842,-0.88908994,0.733,Healthcare,3,9349466,10408912,9.62,-0.734
CTSO,-38.55263,0.614,,-14340264,,1.363801,,,8.816,45.887,,,-0.67939,-33.877,23.016,-0.38,0.10532,0.26835,Diagnostics & Research,-14340264,,8.073,2,-0.29026,-0.95021003,0.657,Healthcare,,2355317,2555203,9.55,-0.492
URBN,16.195122,0.137,6,180479008,1,0.596998,9,9,2.795,,0.91,0.859,0.122159995,9.27,1.132,2.87,0.35974997,0.81299,Apparel Stores,180479008,1.01,1.615,2.6,0.10592,0.13114001,35.207,Consumer Cyclical,1,13495193,12290199,9.42,1.639
WDAY,93.66061,0.289,9,-331588000,1,2.05118,6,7,1.767,91.081,,,-0.0747,-184.028,13.746,1.65,0.01048,1.0149,Software - Application,-331588000,8.49,1.693,2.5,-0.0477,-0.22268,10.862,Technology,10,13500462,13498218,9.38,-1.578
ED,17.777027,0.024,6,1578000000,1,-0.119351,9,4,0.63,114.398,0.053,0.074,0.31851,10.716,3.413,4.44,0.00175,0.61054003,Utilities - Regulated Electric,1578000000,5.49,0.483,3.4,0.03203,0.10467,39.49,Utilities,4,14426372,14097115,9.38,5.07
TLRD,8.089347,0.045,2,108773000,1,1.624408,2,3,1.975,,6.166,6.563,0.10795999,6.441,0.695,2.91,0.01388,1.03463,Apparel Stores,108773000,1.09,0.351,2,0.07813,,67.796,Consumer Cyclical,5,12220889,7664601,9.36,2.17
WATT,-24.18868,-0.313,9,-49726552,2,1.308556,9,10,8.995,,,,0,-5.823,554.332,-0.53,0.23822,0.24302,Electronic Components,-49726552,,8.836,1.8,-1.11625,-2.09674,0.022,Technology,4,5294567,6057246,9.27,-2.109
JWN,16.626984,0.072,1,513000000,1,0.621416,1,2,1.103,239.825,0.462,0.473,0.10283,7.202,0.741,3.78,0.3177,0.59379,Department Stores,513000000,1.85,0.421,2.9,0.07184,0.53299,95.392,Consumer Cyclical,4,17936990,13955225,9.26,3.029
GLOG,17.68421,0.072,,19888000,,1.46968,,,1.2,168.252,,,0.66333,13.986,9.277,0.95,0.48735002,0.4816,Shipping & Ports,19888000,2.11,1.131,2,0.028350001,0.06182,6.847,Industrials,,3297212,3310569,9.25,0.246
TGTX,-6.479592,0,8,-148066016,2,2.245047,9,7,3.683,0.207,,,0,-5.636,5490.894,-1.96,0.120340005,0.56368,Biotechnology,-148066016,,3.42,1.5,-0.76754,-1.6511301,0.002,Healthcare,4,9875574,10718811,9.24,-2.141
RIGL,-6.9591837,,4,-93473000,1,0.727589,5,7,8.008,,,,0,-4.405,154.796,-0.49,0.00287,0.95623,Biotechnology,-93473000,-0.06,7.867,1.7,-0.52336,-0.96777,0.019,Healthcare,3,17868240,14786829,9.24,-0.647
SAGE,-16.88181,,7,-234716992,2,3.590431,8,6,23.451,,,,-2.7147,-26.697,72.475,-9.73,0.03596,1.04449,Biotechnology,-234716992,-0.79,23.181,1.6,-0.21531,-0.35083,2.134,Healthcare,8,3441280,3290973,9.23,-5.575
CVE,19.808512,0.445,3,-1371890816,2,0.697879,2,6,1.166,52.581,,,0.10217,12.378,1.265,0.47,0.17179,0.63658,Oil & Gas Integrated,-1371890816,0.6,0.677,2.5,-0.021659998,-0.09431,12.168,Energy,1,25985261,23243713,9.21,-0.327
USCR,9.043152,0.186,8,33716000,10,0.821771,6,6,1.411,236.173,,,0.11446,9.487,1.086,5.33,0.047859997,1.2189499,Building Materials,33716000,-1.05,1.149,1.6,0.04123,0.12958,87.415,Basic Materials,4,3673139,4035451,9.17,2.007
AR,10.114754,0.325,7,230254000,2,0.26344,5,10,1.059,60.075,,,0.42696998,8.239,3.518,1.83,0.01385,0.44248,Oil & Gas E&P,230254000,0.24,0.517,2.3,0.01047,0.05298,10.761,Energy,8,26140313,27616567,9.16,0.728
RDUS,-4.7837205,22.091,7,-259296992,2,1.807091,8,6,5.385,126.261,,,0,-3.624,14.393,-4.3,0.00261,1.2084,Drug Manufacturers - Specialty & Generic,-259296992,-0.12,5.075,2.3,-0.49049,-1.50719,1.303,Healthcare,8,8449112,9661446,9.16,-5.795
