"","flat","up"
"industryRental & Leasing Services",0.00129482591227109,0.00206143135469245
"industryResidential Construction",0.00288140742706666,0.00172735306540371
"industryResorts & Casinos",0.00129916329323267,0.00129916329330998
"industryRestaurants",0.00220626004007902,0.00244409875796573
"industryRubber & Plastics",0.000899471368484797,1.12671984068214e-14
"industryScientific & Technical Instruments",0.00126457490864408,0.00129705832477453
"industrySecurity & Protection Services",1.36957869085546e-12,0.000853795230656442
"industrySemiconductor Equipment & Materials",0.00473520417361321,0.00438671123421214
"industrySemiconductors",0.00628843644789808,0.00583802469732728
"industryShipping & Ports",0.00285888896289632,1.39930722540133e-11
"industrySilver",0.0015179742767148,0.000772685741390657
"industrySoftware - Application",0.137900968876405,0.122343517126604
"industrySoftware - Infrastructure",0.00271441846607748,0.00384694158497092
"industrySolar",7.1994174073111e-10,0.000694315481191431
"industrySpecialty Chemicals",0.00487222475601502,0.00279538726368825
"industrySpecialty Finance",0.000199914530768282,0.00019991448495642
"industrySpecialty Retail",0.00309727170668484,0.00662863101458426
"industrySteel",0.00171115067244363,0.00171115067252812
"industryTelecom Services",0.00857267389723729,0.0116058817209722
"industryTobacco",1.32764414417742e-13,1.73333274684793e-16
"industryTools & Accessories",0.000694987831599708,5.53831803955881e-13
"industryTrucking",0.000593653475655524,0.00105900164743388
"industryUtilities - Diversified",7.28791114593207e-13,5.17812468302003e-15
"industryUtilities - Independent Power Producers",1.12168642267008e-13,2.0030326860601e-16
"industryUtilities - Regulated Electric",3.67283880864104e-09,1.66316268407124e-09
"industryWaste Management",0.000518363111782643,0.000518363113141466
"current_ratio",0.0315464335569082,0.0345479702861905
"total_debt_equity_ratio",0.0045422026290079,0.00564789826242611
"day_sales_outstanding",7.02166549136685e-05,7.1683636690282e-05
"gross_margin",0.0255482739608061,0.0352335771982876
"operating_margin",0.0059018692754091,0.00877602926056724
"interest_coverage_ratio",0.00585526132637724,0.00874166264700213
"net_profit_margin",0.00677272208559238,0.0114332250351438
"roe",0.00590185436063685,0.00877602225768061
"changeToLiabilities",0.00433876421002863,0.00419506107495126
"changeToNetincome",0.0172377483054709,0.0173268979051738
"changeToOperatingActivities",0.0169289882601897,0.0205282523716971
