Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry
AIMC,Altra Industrial Motion Corp.,38,1115790542,n/a,2006,Capital Goods,Industrial Machinery/Components
AMAG,"AMAG Pharmaceuticals, Inc.",24.55,846307657.4,n/a,n/a,Health Care,Major Pharmaceuticals
AMAL,Amalgamated Bank,17.59,0,n/a,2018,Consumer Non-Durables,Textiles
AMRN,Amarin Corporation plc,3.22,937773225.6,291233921,n/a,Health Care,Major Pharmaceuticals
AMRK,"A-Mark Precious Metals, Inc.",13.27,93307341.5,n/a,n/a,Basic Industries,Other Specialty Stores
AMZN,"Amazon.com, Inc.",1998.1,9.74556E+11,n/a,1997,Consumer Services,Catalog/Specialty Distribution
AMBC,"Ambac Financial Group, Inc.",21.26,963762869.6,n/a,n/a,Finance,Property-Casualty Insurers
AMBCW,"Ambac Financial Group, Inc.",10.6,0,n/a,n/a,Finance,Property-Casualty Insurers
AMBA,"Ambarella, Inc.",40.07,1338756932,n/a,2012,Technology,Semiconductors
AMCX,AMC Networks Inc.,63.42,3610397416,n/a,n/a,Consumer Services,Television Services
DOX,Amdocs Limited,65.29,9234878760,n/a,n/a,Technology,EDP Services
AMDA,Amedica Corporation,0.4061,4820357.862,n/a,2014,Health Care,Medical/Dental Instruments
AMED,Amedisys Inc,122.98,3915191526,n/a,n/a,Health Care,Medical/Nursing Services
UHAL,Amerco,377.47,7401351736,n/a,n/a,Consumer Services,Rental/Leasing Companies
AMRH,"Ameri Holdings, Inc.",1.47,33623967.09,n/a,n/a,Technology,Semiconductors
AMRHW,"Ameri Holdings, Inc.",0.1511,0,n/a,n/a,Technology,Semiconductors
ATAX,"America First Multifamily Investors, L.P.",5.85,353649628.8,n/a,n/a,Finance,Finance: Consumer Services
AMOV,"America Movil, S.A.B. de C.V.",17.31,57169721421,n/a,n/a,Public Utilities,Telecommunications Equipment
AAL,"American Airlines Group, Inc.",40.5,18650623248,n/a,n/a,Transportation,Air Freight/Delivery Services
AETI,"American Electric Technologies, Inc.",0.9001,8025416.714,n/a,n/a,Energy,Industrial Machinery/Components
AFIN,"American Finance Trust, Inc.",16.35,1735118277,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AMNB,"American National Bankshares, Inc.",41.45,361088649.2,n/a,n/a,Finance,Major Banks
ANAT,American National Insurance Company,129.7,3487042735,n/a,n/a,Finance,Life Insurance
AOBC,American Outdoor Brands Corporation,10.12,550370117.9,n/a,n/a,Capital Goods,Ordnance And Accessories
APEI,"American Public Education, Inc.",35.2,578119942.4,n/a,2007,Consumer Services,Other Consumer Services
ARII,"American Railcar Industries, Inc.",46.54,888163682.1,n/a,2006,Capital Goods,Railroads
AMRB,American River Bankshares,15.15,88851750.3,n/a,n/a,Finance,Major Banks
AMSWA,"American Software, Inc.",17.87,552296135,n/a,n/a,Technology,Computer Software: Prepackaged Software
AMSC,American Superconductor Corporation,6.48,137557900.1,n/a,1991,Consumer Durables,Metal Fabrications
AMWD,American Woodmark Corporation,89,1561649358,n/a,1986,Basic Industries,Forest Products
CRMT,"America&#39;s Car-Mart, Inc.",83.35,572203001.1,n/a,n/a,Consumer Durables,Automotive Aftermarket
ABCB,Ameris Bancorp,49.5,2352173769,n/a,1994,Finance,Major Banks
AMSF,"AMERISAFE, Inc.",63.35,1220753233,n/a,2005,Finance,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,4.45,80211659.4,n/a,n/a,Finance,Major Banks
ASRVP,AmeriServ Financial Inc.,28.5,0,n/a,n/a,Finance,Major Banks
ATLO,Ames National Corporation,30.15,280724027,n/a,n/a,Finance,Major Banks
AMGN,Amgen Inc.,199.75,1.29293E+11,n/a,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FOLD,"Amicus Therapeutics, Inc.",13.4,2534407164,n/a,2007,Health Care,Major Pharmaceuticals
AMKR,"Amkor Technology, Inc.",8.64,2069611638,n/a,1998,Technology,Semiconductors
AMPH,"Amphastar Pharmaceuticals, Inc.",18.27,845105414.6,n/a,2014,Health Care,Major Pharmaceuticals
IBUY,Amplify Online Retail ETF,53.6,549400000,n/a,n/a,n/a,n/a
ASYS,"Amtech Systems, Inc.",5.49,82282720.05,n/a,n/a,Technology,Industrial Machinery/Components
AFSI,"AmTrust Financial Services, Inc.",14.55,2874748929,n/a,n/a,Finance,Property-Casualty Insurers
AMRS,"Amyris, Inc.",7.57,381405812.6,n/a,2010,Basic Industries,Major Chemicals
ADI,"Analog Devices, Inc.",100.17,37230180494,n/a,n/a,Technology,Semiconductors
ANAB,"AnaptysBio, Inc.",87.75,2109198575,n/a,2017,Health Care,Major Pharmaceuticals
AVXL,Anavex Life Sciences Corp.,2.62,119030019.1,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ANCB,Anchor Bancorp,28.7,71291661,n/a,2011,Finance,Banks
ANGI,ANGI Homeservices Inc.,21.89,10537110496,n/a,n/a,Consumer Services,Advertising
ANGO,"AngioDynamics, Inc.",22.44,827716566.6,n/a,2004,Health Care,Medical/Dental Instruments
ANIP,"ANI Pharmaceuticals, Inc.",57.76,683229235.4,n/a,n/a,Health Care,Major Pharmaceuticals
ANIK,Anika Therapeutics Inc.,41.39,603615079.8,n/a,n/a,Health Care,Medical/Dental Instruments
ANSS,"ANSYS, Inc.",185.62,15647360235,n/a,1996,Technology,Computer Software: Prepackaged Software
ATRS,"Antares Pharma, Inc.",3.49,549454086.5,n/a,n/a,Health Care,Medical/Dental Instruments
APLS,"Apellis Pharmaceuticals, Inc.",19.01,1067946137,n/a,2017,Health Care,Major Pharmaceuticals
APOG,"Apogee Enterprises, Inc.",49.72,1405657041,n/a,n/a,Capital Goods,Auto Parts:O.E.M.
APEN,"Apollo Endosurgery, Inc.",7.4,161903830.4,n/a,n/a,Health Care,Medical/Dental Instruments
AINV,Apollo Investment Corporation,5.57,1196985726,n/a,2004,n/a,n/a
AMEH,"Apollo Medical Holdings, Inc.",16.005,536524843.6,n/a,n/a,Consumer Services,Professional Services
APPF,"AppFolio, Inc.",81.9,2802789499,n/a,2015,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation,34.69,2141548783,n/a,2017,Technology,Computer Software: Prepackaged Software
AAPL,Apple Inc.,222.98,1.07698E+12,n/a,1980,Technology,Computer Manufacturing
ARCI,"Appliance Recycling Centers of America, Inc.",1.03,7081625.95,n/a,n/a,Consumer Services,Home Furnishings
APDN,Applied DNA Sciences Inc,1.19,35833347.83,n/a,n/a,Consumer Services,Other Consumer Services
APDNW,Applied DNA Sciences Inc,0.25,0,n/a,n/a,Consumer Services,Other Consumer Services
AGTC,Applied Genetic Technologies Corporation,4.45,80591885.2,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMAT,"Applied Materials, Inc.",43.1,42366891455,n/a,1972,Technology,Semiconductors
AAOI,"Applied Optoelectronics, Inc.",42.39,834998050.4,n/a,2013,Technology,Semiconductors
AREX,Approach Resources Inc.,2.14,202201856.9,n/a,2007,Energy,Oil & Gas Production
APTI,"Apptio, Inc.",38.2,1702757207,n/a,2016,Technology,Computer Software: Prepackaged Software
APRI,"Apricus Biosciences, Inc.",0.3184,7463757.362,n/a,n/a,Health Care,Major Pharmaceuticals
APVO,Aptevo Therapeutics Inc.,5.29,119921152.5,n/a,n/a,Health Care,Major Pharmaceuticals
APTX,Aptinyx Inc.,23.21,777447359,n/a,2018,Health Care,Major Pharmaceuticals
APTO,"Aptose Biosciences, Inc.",2.77,95318445.07,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AQMS,"Aqua Metals, Inc.",2.42,93846898.2,n/a,2015,Basic Industries,Metal Fabrications
AQB,"AquaBounty Technologies, Inc.",2.96,38031192.96,n/a,n/a,n/a,n/a
AQST,"Aquestive Therapeutics, Inc.",16.9,421244786.3,n/a,2018,Health Care,Major Pharmaceuticals
AQXP,"Aquinox Pharmaceuticals, Inc.",3.09,72730467.12,n/a,2014,Health Care,Major Pharmaceuticals
ARDM,Aradigm Corporation,1.4,21281710.8,n/a,1996,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
PETX,"Aratana Therapeutics, Inc.",5.25,250273364.3,n/a,2013,Health Care,Major Pharmaceuticals
ABUS,Arbutus Biopharma Corporation,8.9,493098252.2,n/a,n/a,Health Care,Major Pharmaceuticals
ARCW,"ARC Group Worldwide, Inc.",1.95,45446818.95,n/a,n/a,Capital Goods,Metal Fabrications
ABIO,"ARCA biopharma, Inc.",0.6112,8510241.84,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
RKDA,"Arcadia Biosciences, Inc.",6.39,30508185.96,n/a,2015,Basic Industries,Agricultural Chemicals
ARCB,ArcBest Corporation,48.45,1244395517,n/a,n/a,Transportation,Trucking Freight/Courier Services
ACGL,Arch Capital Group Ltd.,30.87,12511595256,n/a,n/a,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd.,24.74,0,n/a,n/a,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd.,24.1,0,n/a,n/a,Finance,Property-Casualty Insurers
FUV,"Arcimoto, Inc.",4.34,69413326.36,n/a,2017,Consumer Non-Durables,Motor Vehicles
ARCT,Arcturus Therapeutics Ltd.,8.04,83008457.4,n/a,2013,n/a,n/a
ARDX,"Ardelyx, Inc.",4.45,276139192,n/a,2014,Health Care,Major Pharmaceuticals
ARNA,"Arena Pharmaceuticals, Inc.",38,1875231182,n/a,2000,Health Care,Major Pharmaceuticals
ARCC,Ares Capital Corporation,17.42,7426114644,n/a,2004,n/a,n/a
ARGX,argenx SE,92.07,1671738836,18157259,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARDS,Aridis Pharmaceuticals Inc.,13.5,0,n/a,2018,Health Care,Major Pharmaceuticals
ARKR,Ark Restaurants Corp.,22.3,77385036.3,n/a,n/a,Consumer Services,Restaurants
ARTX,Arotech Corporation,3.45,91377224.4,n/a,1994,Miscellaneous,Industrial Machinery/Components
ARQL,"ArQule, Inc.",6.26,681194326.1,n/a,1996,Health Care,Major Pharmaceuticals
ARRY,Array BioPharma Inc.,15.38,3255418097,n/a,2000,Health Care,Major Pharmaceuticals
ARRS,ARRIS International plc,26.32,4746304524,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment
DWCR,Arrow DWA Country Rotation ETF,28.89,20223000,n/a,n/a,n/a,n/a
DWAT,Arrow DWA Tactical ETF,12.42,6210000,n/a,n/a,n/a,n/a
AROW,Arrow Financial Corporation,39.1,548024387.9,n/a,n/a,Finance,Major Banks
ARWR,"Arrowhead Pharmaceuticals, Inc.",14.68,1292179827,n/a,n/a,Health Care,Major Pharmaceuticals
ASNS,"Arsanis, Inc.",1.85,26483508.5,n/a,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARTNA,Artesian Resources Corporation,36.29,335379551.1,n/a,n/a,Public Utilities,Water Supply
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",2.8,11761304.8,n/a,n/a,Capital Goods,Industrial Machinery/Components
ASNA,"Ascena Retail Group, Inc.",4.45,873156402.9,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
ASND,Ascendis Pharma A/S,76.09,2867831415,37689991,2015,Health Care,Major Pharmaceuticals
ASCMA,"Ascent Capital Group, Inc.",2.65,32941352.35,n/a,n/a,Consumer Services,Other Consumer Services
APWC,Asia Pacific Wire & Cable Corporation Limited,2.55,35240155.95,n/a,n/a,Basic Industries,Telecommunications Equipment
ASLN,ASLAN Pharmaceuticals Limited,7.83,46980000,6000000,2018,Health Care,Major Pharmaceuticals
ASML,ASML Holding N.V.,206.82,15461407782,74757798,1995,Technology,Industrial Machinery/Components
ASPU,Aspen Group Inc.,8.08,148000180.3,n/a,n/a,Consumer Services,Other Consumer Services
AZPN,"Aspen Technology, Inc.",113.98,8093618472,n/a,1994,Technology,EDP Services
ASMB,"Assembly Biosciences, Inc.",39.48,1004626991,n/a,n/a,Health Care,Major Pharmaceuticals
ASRT,"Assertio Therapeutics, Inc.",6.515,416411215.5,n/a,n/a,Health Care,Major Pharmaceuticals
ASFI,"Asta Funding, Inc.",3.8,25170497,n/a,1995,Finance,Finance Companies
ASTE,"Astec Industries, Inc.",48.93,1129969946,n/a,1986,Capital Goods,Construction/Ag Equipment/Trucks
ATRO,Astronics Corporation,44.35,1246301436,n/a,n/a,Capital Goods,Military/Government/Technical
ALOT,"AstroNova, Inc.",22.05,151227962.6,n/a,1983,Technology,Computer peripheral equipment
ASTC,Astrotech Corporation,3.54,14560260.72,n/a,n/a,Capital Goods,Military/Government/Technical
ASUR,Asure Software Inc,15.03,228797436.5,n/a,n/a,Technology,EDP Services
ASV,"ASV Holdings, Inc.",5.63,55363905.53,n/a,2017,Capital Goods,Construction/Ag Equipment/Trucks
ATAI,ATA Inc.,2.42,25560434.46,10562163,2008,Consumer Services,Other Consumer Services
ATRA,"Atara Biotherapeutics, Inc.",40,1813706120,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
