,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
ACHN,-0.36272544,0.17144,,,2.0,0.255129,,3.0,2.125,,7.0,3.45,35.918,1534291200,0.07,,,-82236000,0.0,-1.875,,154164704,USD,,124831403,-0.66,-5.2272725,-47390248,88.0,,,0.0,-65052000,0.00127,0.8347,Biotechnology,,,1514678400,,,,1,86400,,,1530316800,-80328000,1577750400,5,-74131000,0.0,5.0,-0.29,2,1.6235294,,0.0,0.0,35.322,buy,2.0,-0.15332,-0.24448,,,,Healthcare,7.0,138586000,0.041100003,5700392,1531440000,6929327,0.0424,6.32,10.0,3.5,5.9,5.0,,,286744992,2.069,206000,,-0.582,,
ACN,0.29615676,0.17144,,,1.0,1.011362,,3.0,15.287,,3.0,169.07,1.291,1534291200,0.284,0.526,0.558,6276057088,0.1627,16.651,2.709,104501452800,USD,,639537065,7.28,23.223902,4584448000,449000.0,,,0.31385002,11030492000,0.00209,0.73706,Information Technology Services,,,1504137600,1325203200,1/10,,1,86400,,,1527724800,3962835968,1567209600,24,5859315200,0.14738,2.0,2.46,2,11.059725,,0.10273,0.10273,1.191,buy,2.3,0.1601,0.4361,0.163,61.955,,Technology,3.0,640748032,0.0113,7221518,1531440000,8430257,0.0117,3.82,190.0,127.0,171.96,170.5,,,3932105984,6.137,28798000,38573621248,6.243,,
ACRX,-0.061538458,0.17144,,,,1.734447,,,-0.918,,,3.1,4.008,1534291200,,,,-31001000,0.0,-4.851,44.388,150385744,USD,,52140772,-0.77,-4.025974,-24069876,43.0,,,0.0,-22073000,0.14252,0.09648,Medical Devices,,,1514678400,,,,1,86400,,,1530316800,-45031000,1577750400,5,-27244000,-9.471661,,,2,,,0.0,0.0,3.879,buy,2.3,-0.28088,,-0.692,0.068,,Healthcare,,60599900,0.0529,3205974,1531440000,3991585,0.078600004,5.16,7.0,3.0,5.6,6.0,,,50122000,0.827,15678000,3388000,-0.904,,
ADBE,0.7182381,0.17144,,,1.0,0.778122,,8.0,17.751,,6.0,263.51,2.076,1534291200,21.643,0.773,0.771,2912666112,0.35861,43.263,15.515,126010892288,USD,,488071252,7.7,34.22208,2569883392,17973.0,,,0.86776,6291014000,0.00311,0.87289,Software - Application,,,1512086400,1116892800,2/1,,1,86400,,,1527811200,2167361024,1575158400,24,3503663104,0.31966,2.0,1.6,2,14.844798,,0.26685,0.26685,1.987,buy,2.0,0.11376,0.26256,0.239,16.495,,Technology,1.0,489663008,0.0074,3630343,1531440000,4142131,0.0074,1.52,300.0,235.0,273.46,275.0,,,6334064128,12.936,1884132992,8121975808,4.339,,
ADI,0.16816783,0.17144,,,1.0,1.085628,,8.0,29.209,,8.0,98.85,1.581,1534291200,60.382,5.111,5.014,2775534080,0.45163,15.283,6.902,42418180096,USD,,370246470,5.93,16.669477,1932180608,15300.0,,,0.68141997,3420314000,0.00387,0.90351,Semiconductors,,,1509148800,953164800,2/1,,1,86400,,,1533340800,1404416000,1572220800,21,2338604032,0.32348,8.0,1.51,2,3.3842309,,0.22945,0.22945,1.108,buy,2.0,0.05964,0.13572,0.097,16.624,,Technology,9.0,371670016,0.0211,7855257,1531440000,7889346,0.0212,4.24,120.0,95.0,108.95,110.0,,,772574976,2.079,6555246080,6145525760,3.755,,
ADM,0.19383883,0.17144,,,2.0,0.841863,,4.0,33.47,,7.0,50.4,1.591,1534291200,40.623,1.083,1.051,2732999936,0.04304,12.816,0.552,35026571264,USD,,546303700,3.61,13.96122,267500000,31000.0,,,0.06004,3506000000,0.0028900001,0.78616995,Farm Products,,,1514678400,999129600,105/100,,1,86400,,,1530316800,1939000064,1577750400,11,1112000000,0.02815,2.0,-1.65,2,1.5058261,,0.030539999,0.030539999,0.358,buy,2.3,0.02917,0.107650004,0.142,112.573,,Consumer Defensive,1.0,559737024,0.0184,10317571,1531440000,9421576,0.020599999,2.8,57.0,50.0,53.73,54.0,,,851000000,1.52,7623000064,63490998272,3.425,,
ADMP,-0.4909091,0.17144,,,,0.620565,,,0.761,,,2.85,0.778,1534291200,19.006,,,-28302868,-2.12327,-4.729,10.04,133836736,USD,,44326190,-0.37,-7.7027025,-9473795,108.0,,,0.37497002,5653271,0.04614,0.084580004,Drug Manufacturers - Specialty & Generic,,,1514678400,1386892800,1/17,,1,86400,,,1530316800,-32115724,1577750400,4,-20550276,-2.35153,,,2,3.7450724,,-2.40931,-2.40931,0.418,buy,2.0,-0.47053,-1.08486,0.03,0.405,,Healthcare,,47291400,0.0698,3298873,1531440000,3534343,0.1029,5.31,13.0,7.0,9.0,8.0,,,3406331,0.072,4827261,13329853,-0.975,,
ADP,0.35528648,0.17144,,,1.0,0.822493,,1.0,7.884,,7.0,146.75,1.054,1534291200,57.88,-0.584,-0.591,2918099968,0.21898001,21.783,4.77,63565758464,USD,,437298588,5.91,24.830795,2205724928,57000.0,,,0.43207002,5757700000,0.0015,0.8074,Business Services,,,1530316800,1412121600,1139/1000,,1,86400,,,1530316800,1620800000,1593475200,14,2515200000,0.19065,1.0,1.92,2,18.613647,,0.12163,0.12163,0.137,buy,2.4,0.04276,0.4359,0.083,30.245,,Industrials,2.0,438083008,0.0092,4045678,1531440000,3813700,0.0091,2.0,175.0,134.0,148.36,146.5,,,2173299968,4.961,2002400000,13325800448,3.66,,
ADRO,-0.42307693,0.17144,,,2.0,2.025342,,10.0,2.232,,9.0,7.4,8.15,1534291200,,,,-102533000,0.0,-2.385,14.542,244541408,USD,,47454042,-1.13,-6.5486727,-55261500,155.0,,,0.0,-72143000,0.47014,0.50125,Biotechnology,,,1514678400,,,,1,86400,,,1530316800,-96542000,1577750400,4,-89690000,-6.36703,9.0,4.28,2,3.315412,,0.0,0.0,8.029,buy,1.8,-0.15527001,-0.44471002,-0.554,0.218,,Healthcare,8.0,79059800,0.0713,5634141,1531440000,6253319,0.1067,16.83,30.0,6.0,14.63,11.25,,,289112000,3.657,0,16816000,-1.25,,
ADSK,0.35309124,0.17144,,,10.0,1.674458,,1.0,-1.103,,7.0,154.35,0.835,1534291200,,,,-146300000,-0.06529,-233.17,15.224,34112739328,USD,,218625510,3.2,48.234375,278662496,8800.0,,,0.87838995,,0.00158,0.98355,Software - Application,,,1517356800,1103587200,2/1,,1,86400,,,1532995200,-415100000,1580428800,21,54600000,-0.102419995,8.0,3.07,2,,,-0.18525,-0.18525,0.733,buy,2.0,-0.03504,-11.2341,0.219,10.229,,Technology,3.0,219144992,0.0311,6823874,1531440000,6543406,0.039300002,4.76,200.0,64.0,162.76,165.0,,,1169799936,5.342,1587200000,2240699904,-1.895,,
ADVM,1.5535715,0.17144,,,2.0,3.86822,,10.0,3.727,,9.0,7.6,20.918,1534291200,,,,-61876000,0.0,-3.449,130.672,213386624,USD,,44764196,-1.32,-5.7575755,-22399376,86.0,,,0.0,-37990000,0.06447,0.73263,Biotechnology,,,1514678400,,,,1,86400,,,1530316800,-64628000,1577750400,4,-46517000,-39.20086,10.0,,2,2.0391736,,0.0,0.0,20.65,buy,2.2,-0.1758,-0.30368,0.065,0.031,,Healthcare,8.0,62694100,0.06,3760831,1531440000,3683146,0.0698,7.86,12.0,8.0,10.25,10.5,,,234876000,3.746,0,1633000,-1.235,,
AEM,-0.3195393,0.17144,,,2.0,-0.320506,,3.0,21.144,,5.0,34.52,4.018,1534291200,34.933,-0.913,-0.909,866889984,0.38022,10.658,4.053,9239644160,USD,,232654939,0.84,41.09524,-477038624,5514.0,,,0.49719003,1187262000,0.00171,0.78126,Gold,,,1514678400,,,,1,86400,,,1530316800,162963008,1577750400,17,688788992,0.15187,2.0,10.56,2,1.6326145,,0.07147,0.07147,2.268,buy,2.1,0.0271,0.03332,0.012,9.821,,Basic Materials,1.0,231591008,0.0156,3079303,1531440000,3166304,,2.9,65.0,38.0,53.0,55.0,,,794427008,3.406,1722967040,2279979008,0.69,,
AEO,0.9983727,0.17144,,,1.0,0.674746,,3.0,7.112,,2.0,25.96,1.963,1534291200,,1.838,1.841,533737984,0.13420999,7.475,1.003,3989913344,USD,,163375721,1.62,16.02469,,7500.0,,,0.44396,1680198000,0.056500003,0.91879,Apparel Stores,,,1517616000,1166486400,3/2,,1,86400,,,1533340800,257952992,1580688000,15,,0.09229,3.0,1.13,2,3.6501687,,0.06486,0.06486,0.861,hold,2.6,0.1297,0.21632,0.142,22.423,,Consumer Cyclical,6.0,176612992,0.0933,16481168,1531440000,14196559,0.1163,4.45,34.0,17.0,26.27,27.0,,,363321984,2.05,0,3976969984,1.432,,
AEP,-0.023524642,0.17144,,,1.0,-0.020225,,3.0,37.982,,2.0,71.73,0.505,1534291200,130.812,0.408,0.409,5274699776,0.33015,11.338,3.743,59804995584,USD,,492810824,4.13,17.368038,-3247225088,17666.0,,,0.40823,6487800000,0.00017999999,0.73957,Utilities - Regulated Electric,,,1514678400,,,,1,86400,,,1530316800,1928199936,1577750400,17,4560200192,0.2085,4.0,3.29,2,1.8885263,,0.12069,0.12069,0.292,buy,2.1,0.03213,0.10609,0.122,32.461,,Utilities,7.0,492934016,0.0128,6287873,1531440000,7715362,0.0128,2.6,82.0,64.0,74.85,75.0,,,374300000,0.759,24621199360,15976599552,3.91,,
AERI,0.07958484,0.17144,,,1.0,0.949588,,7.0,4.892,,8.0,61.35,10.269,1534291200,63.628,,,-187084000,0.0,-14.217,1097.715,2659764480,USD,,31819282,-1.33,-46.127815,-122909376,160.0,,,0.97565,,0.02081,1.1118599,Drug Manufacturers - Major,,,1514678400,,,,1,86400,,,1530316800,-186608000,1577750400,10,-125226000,-77.99216,7.0,,2,12.540882,,0.0,0.0,9.983,buy,1.8,-0.34741002,-0.98235,,0.064,,Healthcare,8.0,45222300,0.0967,4373707,1531440000,6444673,0.1305,12.36,105.0,77.0,83.8,81.0,,,286103008,6.327,123999000,2423000,-4.958,,
AES,0.25,0.17144,,,1.0,1.261264,,3.0,5.002,,2.0,13.46,1.324,1534291200,342.68,4.484,4.472,3462000128,0.32619998,8.435,2.751,29200400384,USD,,659738117,1.31,10.27481,-172124992,10500.0,,,0.24168,2464000000,0.00575,1.00465,Utilities - Diversified,,,1514678400,959904000,2/1,,1,86400,,,1530316800,245000000,1577750400,8,2444000000,0.22256,1.0,1.33,2,2.6909237,,-0.020350002,-0.020350002,0.856,hold,2.7,0.04275,0.10379,-0.029,16.068,,Utilities,2.0,661683008,0.0196,12962728,1531440000,15032276,0.0221,1.75,16.0,12.0,13.75,13.75,,,1996000000,3.017,19591000064,10613000192,-0.327,,
AET,0.26158416,0.17144,,,1.0,0.772363,,7.0,53.155,,7.0,200.27,1.082,1534291200,46.172,0.019,0.007,6096000000,0.100360006,10.478,1.052,63874220032,USD,,319149520,12.25,16.348572,3159249920,47950.0,,,0.27466,15907000000,0.0038400001,0.86864,Health Care Plans,,,1514678400,1140480000,2/1,,1,86400,,,1530316800,3503000064,1577750400,15,3228999936,0.08999,6.0,1.83,2,3.7676609,,0.05767,0.05767,0.839,buy,2.5,0.0594,0.21284,0.002,185.192,,Healthcare,5.0,327100000,0.0149,4865902,1531440000,4256256,0.0159,2.52,224.0,195.0,203.0,202.0,,,9891999744,30.214,8159000064,60743000064,10.608,,
AFL,0.12207472,0.17144,,,1.0,0.839993,,7.0,30.938,,10.0,46.24,0.378,1534291200,37.928,0.202,0.167,4610500096,0.20838,8.869,1.848,40889389056,USD,,758371671,4.17,11.088729,699625024,11318.0,,,0.33727002,7179000000,0.02172,0.70474,Insurance - Life,,,1514678400,1521417600,2/1,,1,86400,,,1530316800,4848999936,1577750400,15,5769999872,0.20601,7.0,1.34,2,1.4946022,,0.21916,0.21916,0.259,hold,2.8,0.020539999,0.21406999,0.03,28.324,,Financial Services,1.0,767800000,0.0146,11236872,1531440000,13243341,0.0147,3.72,53.0,41.0,46.93,47.0,,,3848000000,5.012,9027000320,22125000704,6.164,,
AFMD,1.585366,0.17144,,,1.0,2.470559,,5.0,0.881,,6.0,5.45,5.354,1534291200,12.615,,,-34726592,0.0,-8.131,124.682,282367712,EUR,,41957945,-0.42,-12.976191,-20398916,80.0,,,1.0,2215000,0.05781,0.55433,Biotechnology,,,1514678400,,,,1,86400,,,1530316800,-35808848,1577750400,6,-32178802,-15.52984,5.0,,2,6.186152,,0.0,0.0,5.117,buy,1.6,-0.33475,-0.70407,-0.669,0.044,,Healthcare,5.0,62390100,0.0049,307288,1531440000,487750,0.0058999998,1.61,15.03,2.0,7.18,6.01,,,55233556,0.885,6933901,2264701,-0.696,,
AG,-0.2306611,0.17144,,,2.0,0.854745,,5.0,3.866,,10.0,5.56,3.199,1534291200,20.62,,,56533000,0.21631001,19.368,4.189,1094907776,USD,,168501572,0.07,79.42857,-10933500,4154.0,,,0.31675,93023000,,,Silver,,,1514678400,,,,1,86400,,,1530316800,-103029000,1577750400,3,51634000,-0.37802,8.0,1.96,2,1.438179,,-0.39422,-0.39422,2.698,buy,2.3,-0.06278,-0.14923,0.326,1.541,,Basic Materials,6.0,165744000,0.1358,25353488,1531440000,23165349,,8.96,11.5,8.46,9.54,8.66,,,118058000,0.61,154156992,261346000,-0.608,,
AGEN,-0.43548387,0.17144,,,2.0,2.79717,,5.0,-1.014,,7.0,2.21,1.319,1534291200,,,,-117321032,0.0,-1.774,7.116,208093008,USD,,82294926,-1.46,-1.5136986,-68183296,255.0,,,-2.97943,-73248213,0.1881,0.35963002,Biotechnology,,,1514678400,1317600000,1/6,,1,86400,,,1530316800,-150894032,1577750400,1,-122792688,-4.2189198,6.0,,2,,,0.0,0.0,1.054,strong_buy,1.0,-0.50003,,2.778,0.286,,Healthcare,7.0,113282000,0.0954,10802405,1531440000,10472062,0.1364,9.12,7.0,7.0,7.0,7.0,,,43163888,0.381,13743413,29244336,-1.477,,
AGN,-0.16177052,0.17144,,,5.0,1.286079,,3.0,209.972,,8.0,191.71,0.996,1534291200,35.573,,,7416600064,0.45904,11.929,5.476,88471347200,USD,,320472873,16.78,11.424911,6794612736,17800.0,,,0.85156995,13773900000,0.0028,0.86946,Drug Manufacturers - Specialty & Generic,,,1514678400,878169600,2/1,,1,86400,,,1530316800,-1387200000,1577750400,20,6048799744,0.00763,8.0,2.0,2,0.9130265,,-0.0986,-0.0986,0.728,buy,2.1,0.00066,-0.01629,0.029,48.279,,Healthcare,7.0,339444000,0.011,3739110,1531440000,3583918,0.0108,2.11,255.0,164.0,210.15,210.0,,,1696199936,4.997,25350500352,16156699648,-5.318,,
AGNC,-0.10769236,0.17144,,,2.0,-0.142071,,2.0,19.714,,3.0,19.02,0.249,1534291200,543.663,13.264,11.208,,0.0,,30.247,44160704512,USD,,476016235,2.34,8.128205,,56.0,,,1.0,841000000,0.0038100001,0.60882,REIT - Residential,,,1514678400,,,,1,86400,,,1530316800,1346000000,1577750400,7,991000000,0.95068,2.0,5.74,2,0.9647966,,0.95068,0.95068,0.242,hold,2.9,0.02138,0.16537,6.775,3.76,,Real Estate,3.0,477832000,0.026400002,12608947,1531440000,13440809,0.0324,1.75,19.75,18.0,18.89,19.0,,,14627000320,30.611,49158000640,1460000000,3.46,,
AHL,-0.09471375,0.17144,,,1.0,0.143979,,4.0,38.753,,3.0,41.15,1.688,1534291200,15.909,,,-323700000,-0.13555999,-1.842,0.25,596265152,USD,,58776882,3.54,11.624294,-280600000,1334.0,,,0.03338,229800000,0.01095,1.03969,Insurance - Reinsurance,,,1514678400,,,,1,86400,,,1530316800,-460000000,1577750400,4,-202400000,-0.15976,3.0,0.81,2,1.0618534,,-0.17756,-0.17756,1.106,hold,2.6,-0.01878,-0.13106,-0.158,40.065,,Financial Services,4.0,59692600,0.0352,2098970,1531440000,2106164,0.0357,4.38,46.0,40.0,42.19,41.38,,,2821700096,47.274,449900000,2387899904,-7.718,,
AIG,-0.11630976,0.17144,,,2.0,1.216082,,1.0,68.655,,2.0,53.17,0.691,1534291200,54.669,-0.142,-0.171,6466999808,0.13535,9.73,1.317,62924259328,USD,,887779934,5.41,9.828096,77030621184,49800.0,,,0.22143,11701000000,0.00099,0.92165,Insurance - Diversified,,,1514678400,1246406400,1/20,,1,86400,,,1530316800,-6519000064,1577750400,15,111000000,0.0379,1.0,0.34,2,0.774452,,-0.13654,-0.13654,0.305,buy,2.2,0.00227,-0.0955,-0.069,52.691,,Financial Services,2.0,888446016,0.0191,16955018,1531440000,17663098,0.0188,3.68,71.0,54.0,62.0,63.0,,,19126999040,21.529,33784000512,47779999744,-7.195,,
AIMC,-0.15789467,0.17144,,,1.0,1.541883,,6.0,14.185,,1.0,39.05,2.576,1534291200,67.088,0.226,0.236,131617000,0.14374,10.3,1.481,1355629952,USD,,28645337,3.14,12.436305,51390376,4580.0,,,0.31924,278123000,0.02448,1.05141,Diversified Industrials,,,1514678400,,,,1,86400,,,1530316800,53725000,1577750400,4,83734000,0.103240006,2.0,1.0,2,2.7529078,,0.05867,0.05867,1.342,strong_buy,1.5,0.06501,0.13746001,0.063,31.514,,Industrials,3.0,29362900,0.0223,655311,1531440000,572668,0.0229,4.74,56.0,49.0,52.0,51.5,,,38114000,1.297,277000992,915652992,1.84,,
AJRD,0.17362273,0.17144,,,10.0,0.817431,,6.0,2.978,,5.0,35.11,1.604,1534291200,277.783,0.406,0.432,207100000,0.10505,13.081,1.374,2709139968,USD,,69672960,1.32,26.598484,238200000,5157.0,,,0.13685,261800000,0.0298,1.06743,Aerospace & Defense,,,1514678400,938995200,10000/5275,,1,86400,,,1530316800,9100000,1577750400,3,199600000,0.06944,8.0,1.48,2,11.789792,,0.00477,0.00477,1.538,hold,2.8,0.036429998,0.05452,0.017,26.787,,Industrials,4.0,75600000,0.1257,9504412,1531440000,9268330,0.22649999,9.63,41.0,30.0,37.33,41.0,,,559600000,7.402,611400000,1971500032,0.12,,
AKAM,0.5868733,0.17144,,,2.0,-0.14797,,7.0,20.349,,3.0,75.14,2.186,1534291200,44.409,-0.239,-0.241,671049984,0.25531,18.384,4.694,12336727040,USD,,164497461,3.8,19.773684,418608384,7443.0,,,0.64782,1627238000,0.02925,0.88744,Software - Application,,,1514678400,,,,1,86400,,,1530316800,183760992,1577750400,20,845422976,0.1479,7.0,1.35,2,3.6925645,,0.069910005,0.069910005,2.056,buy,2.4,0.04814,0.05459,0.094,15.443,,Technology,9.0,169504992,0.0547,9266158,1531440000,7451096,0.0563,4.49,97.0,66.0,82.7,83.5,,,1856971008,10.955,1530007040,2628354048,1.068,,
